Language_ID,Glottocode,Notes
zhangst_hanicaiyuan,hani1248,manual:Hani Caiyuan = Hani
zhangst_hanimojiang,hani1248,manual:Hani Mojiang = Hani
zhangst_hanigelanghe,hani1248,manual:Hani Gelanghe = Hani
zhangst_hanidazhai,hani1248,manual:Hani Dazhai = Hani
zhangst_hanishuikui,hani1248,manual:Hani Shuikui = Hani
zhangst_haniluchun,hani1248,manual:Hani Luchun = Hani
zhangst_naxiyongning,yong1270,manual:Naxi Yongning = Narua (Na/Mosuo not Naxi proper)
zhangst_naxilijiang,naxi1245,manual:Naxi Lijiang = Naxi
zhangst_kayanpekon,east2342,manual:Kayan Pekon = Eastern Kayah
zhangst_pao,paok1235,manual:Pa O = Pao Karen
zhangst_chineseold,oldc1244,manual:Chinese Old = Old Chinese
zhangst_chinesemandarin,mand1415,manual:Chinese Mandarin = Mandarin Chinese
starostinaltaic_uzbek,nort2690,manual:Uzbek = Northern Uzbek (standard variety)
starostinaltaic_saryyughur,west2402,manual:Sary Yughur = West Yugur (Turkic)
starostinaltaic_azerbaidzhan,nort2697,manual:Azerbaidzhan = North Azerbaijani
starostinaltaic_khankassian,khak1248,manual:Khankassian = Khakas
starostinaltaic_yakut,yaku1245,manual:Yakut = Sakha
starostinaltaic_tuva,tuvi1240,manual:Tuva = Tuvinian
starostinaltaic_noghai,noga1249,manual:Noghai = Nogai
starostinaltaic_balkar,kara1465,manual:Balkar = Karachay-Balkar
starostinaltaic_karakalpak,kara1467,manual:Karakalpak = Kara-Kalpak
starostinaltaic_oldturkic,oldu1238,manual:Old Turkic
starostinaltaic_middlemongolian,midd1351,manual:Middle Mongolian = Middle Mongol
starostinaltaic_khalkha,halh1238,manual:Khalkha = Halh Mongolian
starostinaltaic_kalmuck,kalm1243,manual:Kalmuck = Oirad-Kalmyk-Darkhat
starostinaltaic_dongxian,dong1285,manual:Dongxian = Dongxiang (Santa)
starostinaltaic_baoan,bona1250,manual:Baoan = Bonan
starostinaltaic_monguor,huzh1238,manual:Monguor = Mongghul (Tu)
starostinaltaic_sharyyoghur,east2337,manual:Shary-Yoghur = East Yugur (Mongolic)
